Feature,Importance
employee,0.11331167313504603
worker,0.06261252479111609
killed,0.053565314265975286
died,0.022608264509269237
worker died,0.01647156877001019
worker killed,0.015904321273919123
right,0.015207595042770562
fell,0.015098434360345457
struck killed,0.014999914483010161
left,0.014640502441751947
hospitalized,0.014432781945235102
struck,0.014074360320975173
fatally,0.013161420721161112
worker fatally,0.011614490659629467
fall,0.011103385909848208
crushed,0.01088856466398587
fatally crushed,0.009078109288437249
finger,0.008159725229501431
killed fall,0.008142312549135852
broken,0.00783350000056753
